Date,Open,High,Low,Close,Adj Close,Volume
2016-03-24,106.389999,106.389999,105.750000,106.320000,93.340355,399800
2016-03-28,108.500000,109.089996,108.089996,108.690002,97.264481,450500
2016-03-29,108.000000,108.419998,107.339996,108.349998,98.791786,345900
2016-03-30,108.000000,108.099998,107.449997,107.599998,98.107956,323500
2016-03-31,106.410004,106.760002,106.120003,106.320000,96.940865,384500
2016-04-01,103.470001,104.029999,103.010002,103.540001,94.406113,531800
2016-04-04,101.660004,101.870003,100.910004,101.379997,92.436653,993600
2016-04-05,98.230003,99.559998,98.110001,98.739998,90.029541,1156400
2016-04-06,98.900002,99.620003,98.379997,99.510002,90.731613,492300
2016-04-07,99.209999,99.250000,97.800003,98.269997,89.601006,547600
2016-04-08,100.699997,101.099998,100.400002,100.660004,91.780174,517100
2016-04-11,98.529999,99.089996,98.300003,98.430000,89.746887,990300
2016-04-12,101.230003,101.970001,101.019997,101.580002,92.619003,523400
2016-04-13,103.760002,104.309998,103.489998,104.260002,95.062584,628900
2016-04-14,105.000000,105.389999,104.790001,104.959999,95.700844,406500
2016-04-15,104.510002,104.510002,103.489998,103.680000,94.533752,399300
2016-04-18,102.000000,103.540001,102.000000,103.360001,94.241989,303000
2016-04-19,105.099998,105.379997,104.449997,104.699997,95.463776,252000
2016-04-20,104.720001,105.330002,104.160004,104.849998,95.600540,261300
2016-04-21,105.540001,105.860001,105.250000,105.440002,96.138504,310500
2016-04-22,106.959999,107.570000,106.669998,107.449997,97.971184,473700
2016-04-25,107.519997,107.910004,106.699997,107.339996,97.870888,307000
2016-04-26,107.349998,107.430000,106.760002,107.320000,97.852646,252500
2016-04-27,105.750000,106.639999,105.510002,106.370003,96.986458,271100
2016-04-28,103.620003,104.660004,102.809998,102.959999,93.877266,740300
2016-04-29,102.690002,102.760002,101.419998,101.699997,92.728424,496300
2016-05-02,102.519997,102.730003,101.959999,102.470001,93.430496,336900
2016-05-03,101.669998,101.919998,100.599998,101.449997,92.500481,315000
2016-05-04,101.680000,101.680000,100.589996,100.620003,91.743698,350500
2016-05-05,101.260002,101.449997,100.669998,101.269997,92.336349,377200
2016-05-06,101.580002,102.080002,101.199997,101.959999,92.965485,283100
2016-05-09,103.459999,103.639999,102.330002,102.610001,93.558159,360200
2016-05-10,104.150002,104.820000,103.949997,104.820000,95.573181,483400
2016-05-11,101.320000,101.730003,98.019997,98.440002,89.756004,1241800
2016-05-12,98.440002,101.989998,98.440002,101.379997,92.436653,1043200
2016-05-13,100.239998,100.839996,99.690002,99.790001,90.986908,371600
2016-05-16,100.169998,101.120003,100.120003,100.820000,91.926048,322200
2016-05-17,101.010002,101.360001,100.500000,100.610001,91.734581,305800
2016-05-18,100.599998,102.089996,100.529999,101.529999,92.573425,374300
2016-05-19,99.570000,99.870003,99.230003,99.610001,90.822792,402600
2016-05-20,100.629997,101.080002,100.400002,100.610001,91.734581,340800
2016-05-23,100.320000,100.320000,99.459999,99.550003,90.768089,447900
2016-05-24,99.930000,101.110001,99.400002,100.639999,91.761940,852500
2016-05-25,101.650002,102.760002,101.440002,102.620003,93.567268,772000
2016-05-26,102.620003,102.750000,102.070000,102.269997,93.248138,371000
2016-05-27,101.800003,101.870003,100.230003,100.589996,91.716347,417600
2016-05-31,103.349998,103.980003,102.629997,103.410004,94.287575,673300
2016-06-01,104.239998,104.279999,102.820000,103.330002,94.214630,540200
2016-06-02,103.400002,103.989998,103.209999,103.820000,94.661407,301000
2016-06-03,103.690002,104.070000,102.769997,103.500000,94.369637,449900
2016-06-06,105.620003,105.839996,105.099998,105.540001,96.229675,559800
2016-06-07,105.620003,105.800003,105.410004,105.489998,96.184082,349500
2016-06-08,105.559998,105.800003,105.290001,105.650002,96.329971,217900
2016-06-09,104.500000,104.709999,104.150002,104.500000,95.281425,283300
2016-06-10,103.650002,103.760002,102.750000,103.199997,94.096100,316700
2016-06-13,102.260002,102.699997,101.489998,101.690002,92.719307,310000
2016-06-14,101.169998,101.550003,100.230003,101.080002,92.163116,375800
2016-06-15,102.639999,103.239998,102.269997,102.480003,93.439621,414900
2016-06-16,101.010002,102.120003,100.580002,101.989998,92.992844,305900
2016-06-17,103.260002,103.559998,102.480003,103.239998,94.132561,395100
2016-06-20,106.709999,107.050003,105.629997,105.800003,96.466728,567900
2016-06-21,107.300003,107.660004,107.000000,107.120003,97.670296,568100
2016-06-22,107.010002,107.550003,106.419998,106.500000,97.104988,881200
2016-06-23,109.680000,110.000000,109.129997,109.949997,100.250648,576900
2016-06-24,104.129997,105.180000,103.050003,103.959999,94.789055,783700
2016-06-27,101.180000,101.180000,99.300003,100.260002,91.415451,691200
2016-06-28,98.959999,99.940002,98.389999,99.849998,91.041626,967700
2016-06-29,100.610001,101.809998,100.459999,101.519997,92.564301,484100
2016-06-30,99.860001,99.989998,98.809998,99.989998,91.169273,1270000
2016-07-01,99.580002,100.209999,99.370003,99.639999,90.850159,515100
2016-07-05,99.629997,99.680000,98.900002,99.180000,90.430733,500700
2016-07-06,99.360001,99.849998,98.480003,99.779999,90.977798,423500
2016-07-07,100.470001,100.839996,100.050003,100.589996,91.716347,423300
2016-07-08,101.209999,102.160004,101.080002,102.070000,93.065781,372800
2016-07-11,104.919998,105.879997,104.839996,105.660004,96.339088,679300
2016-07-12,106.750000,107.279999,106.510002,106.540001,97.141457,456300
2016-07-13,108.099998,108.489998,107.260002,107.860001,98.345016,537200
2016-07-14,108.389999,108.410004,107.820000,107.980003,98.454430,296800
2016-07-15,108.940002,109.139999,108.540001,108.820000,99.220322,351300
2016-07-18,108.680000,109.180000,108.550003,109.010002,99.393562,233900
2016-07-19,108.680000,108.699997,108.129997,108.559998,98.983253,220500
2016-07-20,108.900002,109.400002,108.720001,109.300003,99.657990,192500
2016-07-21,109.160004,109.480003,108.669998,108.860001,99.256798,292700
2016-07-22,109.620003,109.879997,109.500000,109.680000,100.004463,205900
2016-07-25,109.900002,110.139999,109.620003,109.680000,100.004463,204600
2016-07-26,109.239998,109.769997,109.180000,109.599998,99.931519,198100
2016-07-27,111.410004,111.459999,110.070000,110.570000,100.815956,384800
2016-07-28,111.220001,111.320000,109.900002,110.760002,100.989189,600000
2016-07-29,112.419998,112.790001,110.879997,111.599998,101.755081,756500
2016-08-01,112.120003,112.199997,110.980003,111.230003,101.417725,445100
2016-08-02,110.339996,110.800003,109.080002,109.970001,100.268875,534100
2016-08-03,109.800003,110.080002,109.370003,110.070000,100.360054,358000
2016-08-04,112.269997,112.480003,111.309998,112.309998,102.402451,907300
2016-08-05,115.839996,116.230003,115.410004,115.959999,105.730461,602900
2016-08-08,118.129997,118.519997,117.290001,117.410004,107.052567,667900
2016-08-09,117.430000,117.500000,116.690002,117.419998,107.061661,342100
2016-08-10,117.010002,117.349998,116.900002,116.949997,106.633125,191300
2016-08-11,117.230003,117.940002,117.129997,117.769997,107.380791,264700
2016-08-12,117.570000,118.180000,117.470001,117.790001,107.399025,239900
